trade_date,trade_time,open,high,low,close,volume,year,week,prev_week_high,prev_week_low,rsi,distance_to_prev_week_high_pct,distance_to_prev_week_low_pct,signal,forward_1,forward_3,forward_6
2014-03-19,20:00:00,1341.07,1343.04,1327.68,1328.95,22986,2014,12,1387.9,1328.07,4.826291079812492,-4.2474241660061995,0.0662615675378639,BULLISH,-0.045900899206149766,0.15199969901049565,-0.14221754016329433
2014-03-20,00:00:00,1329.03,1330.77,1325.79,1328.34,3694,2014,12,1387.9,1328.07,4.8738858334916415,-4.291375459327053,0.020330253676386172,BULLISH,0.3026333619404657,-0.40576960717887534,0.19799147808543818
2014-06-16,00:00:00,1277.84,1278.84,1276.53,1278.38,2755,2014,25,1277.81,1250.31,84.42044038221863,0.044607570765619595,2.245043229279152,BEARISH,0.2338897667360082,0.16974608488867513,-0.5045448145308942
2014-07-31,16:00:00,1294.32,1295.65,1284.4,1286.76,15208,2014,31,1318.23,1287.51,17.93935991016305,-2.3872920507043554,-0.058251974741943754,BULLISH,-0.3761385184494326,-0.26422953775374514,0.5914078771488
2014-08-08,00:00:00,1311.36,1312.46,1310.6,1311.09,2447,2014,32,1312.04,1279.37,87.48593925759265,-0.07240632907533653,2.4793453027662076,BEARISH,0.41034559031036083,0.2905978994577163,-0.12127313914375965
2015-03-23,00:00:00,1185.8,1187.07,1185.33,1186.36,795,2015,13,1187.88,1142.7,80.93212830054932,-0.12795905310302463,3.8207753566115215,BEARISH,-0.3767827640850838,-0.14498128729894805,0.2596176540004851
2015-03-31,08:00:00,1181.23,1184.53,1178.54,1179.13,14564,2015,14,1219.57,1179.23,12.960098979275884,-3.3159228252580686,-0.00848010990221662,BULLISH,0.4214972055667992,0.42573762010974037,0.5817848752893997
2015-04-29,08:00:00,1211.13,1211.43,1207.63,1207.9,7735,2015,18,1209.02,1175.14,82.3407202216065,-0.09263701179466766,2.7877529485848482,BEARISH,0.043049921351103713,-0.32949747495653764,-0.24753704776885577
2015-04-29,12:00:00,1207.87,1209.12,1204.33,1208.42,11082,2015,18,1209.02,1175.14,81.45454545454534,-0.04962697060428355,2.832002995387781,BEARISH,0.1895036493934198,-0.3202528922063619,-0.2557057976531459
2015-04-29,16:00:00,1208.42,1213.99,1205.24,1210.71,28670,2015,18,1209.02,1175.14,82.3813910640257,0.13978263386875772,3.0268733938083914,BEARISH,-0.5608279439337218,-0.6161673728638598,-2.505141611120741
2015-06-24,16:00:00,1177.28,1177.78,1169.82,1174.09,17667,2015,26,1205.68,1172.73,13.345008756567836,-2.620098201844614,0.11596872255334988,BULLISH,0.021293086560655487,0.2623308264272888,-0.06558270660681735
2015-06-24,20:00:00,1174.1,1175.09,1173.19,1174.34,5599,2015,26,1205.68,1172.73,14.736842105263563,-2.5993630150620515,0.13728650243448193,BULLISH,0.08430267213924496,0.1370982849941352,-0.10644276785258104
2015-10-06,16:00:00,1138.69,1151.18,1137.78,1147.84,34575,2015,41,1148.14,1104.59,83.94301793879715,-0.026129217691238167,3.9154799518373333,BEARISH,-0.08450655143574255,0.047044884304449315,-0.05314329523277635
2015-10-06,20:00:00,1147.85,1148.64,1144.57,1146.87,12045,2015,41,1148.14,1104.59,85.17130620985013,-0.1106136882261927,3.8276645633221356,BEARISH,-0.036621413063367726,0.16566829719149434,-0.10027291672115093
2015-11-02,00:00:00,1141.45,1141.47,1134.16,1140.59,2785,2015,45,1182.86,1139.23,15.035154137371975,-3.573542092893494,0.11937887871631715,BULLISH,-0.03506956925800363,-0.30072155638746934,-0.6505405097361756
2015-12-22,00:00:00,1080.07,1080.07,1076.45,1077.27,5360,2015,52,1078.27,1047.58,81.73843700159503,-0.09274115017574448,2.8341510910861274,BEARISH,0.028776444159769175,0.051983253966038735,-0.3536717814475429
2015-12-22,04:00:00,1077.29,1079.83,1075.82,1077.58,7166,2015,52,1078.27,1047.58,87.9388448471126,-0.06399139362126875,2.863743103152027,BEARISH,0.14755284990442896,-0.1317767590341177,-0.3526420312180956
2015-12-22,08:00:00,1077.54,1079.99,1076.92,1079.17,6704,2015,52,1078.27,1047.58,87.76565192418208,0.08346703515817847,3.015521487619098,BEARISH,-0.12416950063476055,-0.5439365438253582,-0.45683256576814246
2015-12-22,12:00:00,1079.16,1079.34,1076.63,1077.83,19653,2015,52,1078.27,1047.58,86.52321630804077,-0.040806106077332635,2.887607629011627,BEARISH,-0.15494094616032636,-0.4054442722878275,-0.38410510006215015
2016-03-28,04:00:00,1214.01,1214.59,1208.15,1210.53,11560,2016,13,1260.12,1211.95,15.445074026686243,-3.935339491476996,-0.11716654977516174,BULLISH,0.3337381147100827,0.7905628113305689,0.6583893005543049
2016-05-02,00:00:00,1292.65,1295.91,1290.77,1294.92,5464,2016,18,1296.62,1229.94,87.73381890415487,-0.13111011707360815,5.2831845455875905,BEARISH,-0.2532975010039209,0.40465820282334114,-0.40465820282334114
