trade_date,trade_time,open,high,low,close,volume,prev_daily_high,prev_daily_low,rsi,distance_to_low_pct,distance_to_high_pct,signal,forward_1,forward_3,forward_6
2024-08-14,05:00:00,19045.35,19048.83,18984.21,19017.78,7048,19020.49,18530.71,82.1260380798053,2.628447587815036,-0.014247792775069226,BEARISH,-0.09943326718470744,-0.21621871743178742,0.3657104036328263
2024-08-16,01:00:00,19472.24,19539.86,19470.99,19515.99,6881,19502.09,18998.16,82.69608530938648,2.7256850137065998,0.07127441212711794,BEARISH,0.24016204148495146,-0.5661511406800351,0.2616316159210866
2024-09-04,09:00:00,18806.69,18895.04,18784.09,18875.43,11257,19607.27,18863.8,15.726367955439343,0.06165247723152822,-3.732493100773336,BULLISH,0.26590122715084474,0.21822019418894664,0.10156060020883367
2024-09-12,01:00:00,19205.15,19261.43,19204.91,19250.76,6535,19264.68,18523.45,81.88933525954391,3.926428392119166,-0.0722565856271783,BEARISH,0.1862264139182151,-0.09495728999789535,0.8887960787002809
2024-09-12,09:00:00,19284.36,19315.85,19234.61,19269.14,9846,19264.68,18523.45,81.59787172132862,4.025653968348221,0.02315117614203364,BEARISH,-0.1902523932048854,0.601583672130681,0.8872736406502892
2024-09-13,09:00:00,19424.11,19454.99,19402.86,19440.11,8213,19456.87,19162.62,84.94432251474137,1.4480796467289003,-0.0861392402786183,BEARISH,0.03858002861094922,0.27330092267996947,0.3549362632207328
2024-09-13,13:00:00,19439.99,19477.74,19375.49,19447.61,11050,19456.87,19162.62,87.3991789920995,1.487218344881867,-0.04759244421121383,BEARISH,0.4861779930798657,0.30080817128685733,-0.17868519576441527
2024-11-07,05:00:00,20787.76,20842.57,20782.69,20829.1,6942,20813.05,20207.39,96.79876696531508,3.0766467119207337,0.07711507924114569,BEARISH,-0.021268321722975506,1.1156507002222902,1.3659735658285785
2024-11-07,09:00:00,20828.48,20840.93,20788.52,20824.67,8890,20813.05,20207.39,96.36813229271293,3.054724039076788,0.05583035643502024,BEARISH,0.7980918785267701,1.351137857166537,0.970339505980183
2024-11-08,05:00:00,21102.62,21145.62,21101.99,21113.62,5687,21131.57,20739.92,96.12860197751444,1.8018391584924183,-0.08494399611576768,BEARISH,-0.41148794001216926,0.1326158186042943,0.30842650383971404
2024-11-08,17:00:00,21096.49,21153.65,21049.84,21141.62,13610,21131.57,20739.92,84.95722954694992,1.9368445008466801,0.04755917331272249,BEARISH,-0.09994503732446891,0.17557784124396628,-0.3349790602612274
2024-11-08,21:00:00,21141.5,21154.39,21096.88,21120.49,6902,21131.57,20739.92,83.5963166350929,1.834963683562923,-0.05243339704526502,BEARISH,0.18347112211885233,0.2030255926827331,-0.0843730424815113
2024-11-11,01:00:00,21165.99,21200.12,21147.62,21159.24,6986,21154.39,21005.37,80.32331832760457,0.7325269681038831,0.022926683303097765,BEARISH,0.09215831948595506,-0.45426962405078164,-0.29528470776834703
2024-12-03,17:00:00,21149.41,21207.49,21110.51,21178.59,13303,21199.74,20877.74,84.45407026385419,1.44100846164383,-0.09976537448101463,BEARISH,0.43713958294673116,0.5742119753959096,1.1887004753385377
2024-12-04,01:00:00,21253.82,21288.1,21251.34,21281.74,5960,21273.41,21079.14,88.38075268428489,0.9611397808449594,0.039156862957098776,BEARISH,0.08674102775430545,0.39324792051777097,0.8171324337201648
2025-02-17,17:00:00,22131.24,22169.87,22120.74,22153.87,5413,22141.12,21962.99,84.6623777751236,0.8690984242127204,0.057585162810192075,BEARISH,0.09140615161143403,0.20705186046502314,-0.053128415035388565
