trade_date,trade_time,open,high,low,close,volume,rsi
2009-09-08,20:00:00,1.4518,1.4519,1.4477,1.4477,5698,81.46341463414663
2009-10-14,08:00:00,1.48805,1.49036,1.48688,1.49002,10972,89.51521984216501
2009-10-14,12:00:00,1.49003,1.49181,1.48719,1.48837,12386,83.30199323053829
2009-10-14,16:00:00,1.48838,1.49175,1.48782,1.48929,12007,82.70354499415723
2009-10-14,20:00:00,1.4893,1.49443,1.48923,1.49221,8155,82.31075697211222
2009-10-15,00:00:00,1.49224,1.49484,1.49186,1.49471,4961,82.10399032648183
2009-10-15,04:00:00,1.4947,1.49586,1.49395,1.4956,6092,88.28903654485107
2009-10-15,08:00:00,1.49559,1.49656,1.49219,1.49425,10390,83.45238095238159
2009-10-27,16:00:00,1.48751,1.48867,1.47792,1.47861,15573,16.99149052978295
2009-10-27,20:00:00,1.4786,1.48187,1.47701,1.48032,9829,17.870722433460116
2009-10-28,00:00:00,1.48034,1.48234,1.4788,1.48018,5901,18.385023749650827
2009-10-28,12:00:00,1.48011,1.48061,1.47564,1.48032,11839,14.364471669219213
2009-10-28,16:00:00,1.48031,1.48148,1.47114,1.47212,15574,11.497916155920734
2009-10-28,20:00:00,1.47211,1.47449,1.46931,1.4705,10435,11.534677816035583
2009-10-29,00:00:00,1.47055,1.47299,1.46829,1.47011,6006,15.706630944407394
2009-11-11,00:00:00,1.49788,1.50066,1.49775,1.50048,5567,81.62282326787691
2009-12-07,08:00:00,1.48857,1.49028,1.47651,1.47657,11385,19.226213975523194
2009-12-07,20:00:00,1.48163,1.48877,1.47934,1.48101,12836,19.15514891960298
2009-12-17,04:00:00,1.45222,1.45239,1.43685,1.4389,8653,16.522182559918505
2009-12-17,08:00:00,1.43893,1.44185,1.43854,1.43929,9301,17.3441050239837
2009-12-17,12:00:00,1.43925,1.43974,1.43282,1.43527,9244,15.103926096997697
2009-12-17,16:00:00,1.43522,1.43747,1.43152,1.43152,12164,17.102510460250997
2010-01-20,12:00:00,1.41998,1.42188,1.41314,1.41397,11772,19.595120685180603
2010-01-20,16:00:00,1.414,1.41459,1.40899,1.40923,12892,17.314814814815037
2010-01-20,20:00:00,1.40922,1.41153,1.40818,1.41014,6007,19.081191721628528
2010-01-21,00:00:00,1.41012,1.41252,1.40945,1.41183,4706,19.062784349408588
2010-01-21,04:00:00,1.41182,1.41354,1.40742,1.40953,8016,18.51933701657461
2010-01-21,08:00:00,1.40955,1.41186,1.40762,1.40772,8810,14.044444444444622
2010-01-21,12:00:00,1.40774,1.40869,1.40285,1.40767,11922,14.301878252998591
2010-01-21,16:00:00,1.40768,1.41343,1.40316,1.41057,14902,18.97732135216114
2010-02-03,00:00:00,1.39643,1.39757,1.39565,1.39652,4411,80.65326633165839
2010-02-03,08:00:00,1.39547,1.40059,1.39534,1.40059,6874,82.84600389863553
2010-02-05,00:00:00,1.37405,1.37448,1.37006,1.37037,5594,18.065506653019625
2010-02-05,04:00:00,1.37032,1.37232,1.36688,1.37109,7366,17.325071004388903
2010-02-05,08:00:00,1.37108,1.37259,1.36478,1.36924,8988,16.28769154720692
2010-02-05,12:00:00,1.36921,1.37199,1.36593,1.36923,10564,16.734382935500037
2010-02-05,16:00:00,1.36924,1.37412,1.35957,1.36063,16114,3.3395609528253942
2010-02-05,20:00:00,1.36063,1.36784,1.35854,1.36776,11577,17.584223500410786
2010-02-19,04:00:00,1.34902,1.35084,1.3459,1.34825,6730,18.355981287591902
2010-03-12,16:00:00,1.37682,1.37764,1.37279,1.37523,10481,84.25960462513959
2010-03-12,20:00:00,1.37521,1.37686,1.37471,1.37678,4877,82.72615636512451
2010-03-19,04:00:00,1.36158,1.36263,1.36053,1.36191,3462,17.670504871567616
2010-03-19,08:00:00,1.36189,1.36259,1.35781,1.35896,6318,15.230224321132866
2010-03-19,12:00:00,1.35895,1.35999,1.35331,1.35503,8924,7.246904588492171
2010-03-19,16:00:00,1.35505,1.35561,1.35029,1.35392,10231,7.189306358381302
2010-03-19,20:00:00,1.35396,1.35439,1.35286,1.35301,4554,7.458770614692469
2010-03-22,00:00:00,1.35174,1.35328,1.35089,1.35127,1352,5.3366762177650315
2010-03-22,04:00:00,1.35128,1.35255,1.3506,1.35191,3280,8.179723502303986
2010-03-22,08:00:00,1.35192,1.35428,1.3498,1.35428,5343,16.642011834319376
2010-03-22,12:00:00,1.35418,1.35458,1.34701,1.34711,7802,13.992537313432692
2010-03-25,00:00:00,1.33133,1.33384,1.3305,1.33352,3861,13.455953533398372
2010-03-25,04:00:00,1.33353,1.33463,1.3321,1.33299,3491,13.395438483778193
2010-03-25,08:00:00,1.333,1.33432,1.32836,1.33303,7804,14.028657114295882
2010-03-25,12:00:00,1.3331,1.33702,1.33298,1.33531,8284,17.755817660185528
2010-03-25,16:00:00,1.3353,1.33861,1.33185,1.33415,9565,19.01672925913337
2010-03-25,20:00:00,1.33416,1.33457,1.32673,1.32732,8044,16.140249203130168
2010-03-30,04:00:00,1.34895,1.34909,1.34699,1.34887,3586,87.42618964918384
2010-03-30,08:00:00,1.34884,1.35367,1.3482,1.35104,6751,86.7786705624545
2010-04-06,12:00:00,1.34065,1.34205,1.33581,1.3367,7688,18.724344805809835
2010-04-12,04:00:00,1.36342,1.36913,1.36227,1.36858,5082,83.81628227873071
2010-04-19,00:00:00,1.34769,1.34972,1.34661,1.34673,3606,15.30576175327009
2010-04-19,04:00:00,1.34676,1.34769,1.34454,1.34684,4025,16.34756995581803
2010-04-19,08:00:00,1.34685,1.34735,1.34371,1.34467,7876,15.143246930423444
2010-04-19,12:00:00,1.3447,1.34471,1.3416,1.3431,7384,15.096905814349412
2010-05-04,16:00:00,1.30668,1.30752,1.30207,1.3038,13232,15.615615615615667
2010-05-04,20:00:00,1.30381,1.30398,1.29812,1.29869,7463,11.103479853479854
2010-05-05,00:00:00,1.29868,1.29917,1.29373,1.294,5625,11.318553092182057
2010-05-05,04:00:00,1.29401,1.29679,1.2936,1.29496,5762,8.653846153846246
