trade_date,trade_time,open,high,low,close,volume,prev_day_high,prev_day_low,body,upper_wick,lower_wick,range,bullish_pinbar,bearish_pinbar,signal,forward_1,forward_3,forward_6
1986-09-04,00:00:00,0.9647,0.9667,0.9634,0.9646,651,0.965,0.9604,9.999999999998899e-05,0.0020000000000000018,0.0011999999999999789,0.0032999999999999696,False,True,BEARISH_SWEEP_PINBAR,-0.7464233879328203,-1.6276176653535195,-1.9178934273273858
1986-09-24,00:00:00,0.9559,0.9573,0.9551,0.9558,431,0.9569,0.9532,9.999999999998899e-05,0.0014000000000000679,0.0007000000000000339,0.0022000000000000908,False,True,BEARISH_SWEEP_PINBAR,-0.052312199204848815,1.0253191044151528,1.7576898932831173
1986-09-25,00:00:00,0.9552,0.956,0.9539,0.9553,411,0.9573,0.9551,9.999999999998899e-05,0.0006999999999999229,0.0013000000000000789,0.0020999999999999908,True,False,BULLISH_SWEEP_PINBAR,0.10467915837956672,1.0572594996336226,2.439024390243901
1986-09-30,00:00:00,0.9655,0.9668,0.9645,0.9654,451,0.9658,0.9656,9.999999999998899e-05,0.0012999999999999678,0.0009000000000000119,0.0022999999999999687,False,True,BEARISH_SWEEP_PINBAR,0.13465920861818603,1.3673088875077677,1.3880256888336406
1986-11-24,00:00:00,0.9681,0.9684,0.9673,0.9682,211,0.9708,0.9676,9.999999999998899e-05,0.000200000000000089,0.0007999999999999119,0.0010999999999999899,True,False,BULLISH_SWEEP_PINBAR,1.146457343524065,2.323900020656897,2.2516009089031237
1986-12-09,00:00:00,0.9709,0.9755,0.9686,0.9707,1361,0.9734,0.973,0.00019999999999997797,0.0046000000000000485,0.0020999999999999908,0.006900000000000017,False,True,BEARISH_SWEEP_PINBAR,0.07211290821057319,-0.22664056866178836,4.893375914288656
1987-02-23,00:00:00,1.0693,1.0707,1.0683,1.0692,471,1.0704,1.0698,9.999999999998899e-05,0.0014000000000000679,0.0008999999999999009,0.0023999999999999577,False,True,BEARISH_SWEEP_PINBAR,-0.37411148522259674,0.47699214365882014,-0.2431724653946816
1987-03-31,00:00:00,1.0839,1.0852,1.0803,1.0837,961,1.0849,1.0843,0.00019999999999997797,0.0012999999999998568,0.0034000000000000696,0.004899999999999904,False,True,BEARISH_SWEEP_PINBAR,-0.839715788502363,-0.9596751868598492,-1.8455292054996786
1987-05-22,00:00:00,1.1003,1.1016,1.0994,1.1,411,1.1005,1.1005,0.00029999999999996696,0.0012999999999998568,0.000600000000000156,0.0021999999999999797,False,True,BEARISH_SWEEP_PINBAR,-1.4181818181818233,-2.090909090909103,-1.6363636363636376
1987-06-10,00:00:00,1.0904,1.0935,1.0889,1.0903,911,1.0921,1.0884,9.999999999998899e-05,0.0030999999999998806,0.0014000000000000679,0.0045999999999999375,False,True,BEARISH_SWEEP_PINBAR,-0.01834357516279721,-1.6142346143263375,-1.7059524901403236
1987-07-13,00:00:00,1.0604,1.0613,1.0594,1.0607,351,1.0611,1.0602,0.00029999999999996696,0.0005999999999999339,0.001000000000000112,0.0019000000000000128,True,False,BULLISH_SWEEP_PINBAR,-0.18855472800980502,0.3959649288205884,-1.0653342132553847
1987-07-14,00:00:00,1.059,1.0617,1.0573,1.0587,851,1.0613,1.0594,0.00029999999999996696,0.0027000000000001467,0.0014000000000000679,0.0044000000000001815,False,True,BEARISH_SWEEP_PINBAR,0.651742703315399,-0.5100595069424834,-0.831208085387732
1987-07-30,00:00:00,1.0531,1.0538,1.0518,1.0533,381,1.0529,1.0524,0.00019999999999997797,0.000500000000000167,0.0012999999999998568,0.0020000000000000018,True,False,BULLISH_SWEEP_PINBAR,-0.06645779929743881,-1.6614449824361388,-1.6044811544669055
1987-08-11,00:00:00,1.0309,1.0318,1.0306,1.031,231,1.0326,1.0308,9.999999999998899e-05,0.0008000000000001339,0.00029999999999996696,0.0012000000000000899,True,False,BULLISH_SWEEP_PINBAR,0.1163918525703288,0.8244422890397842,2.9776915615907056
1987-08-14,00:00:00,1.0391,1.0425,1.0329,1.0395,1881,1.0365,1.034,0.000400000000000178,0.0029999999999998916,0.006199999999999983,0.009600000000000053,True,False,BULLISH_SWEEP_PINBAR,0.26936026936026103,2.135642135642135,3.5113035113035087
1987-09-16,00:00:00,1.0778,1.0792,1.077,1.0776,421,1.0784,1.0769,0.00020000000000020002,0.0013999999999998458,0.0005999999999999339,0.0021999999999999797,False,True,BEARISH_SWEEP_PINBAR,-0.12991833704527153,0.13919821826281153,-0.31551596139568
1987-10-30,00:00:00,1.1302,1.1318,1.1272,1.13,901,1.1313,1.1283,0.00020000000000020002,0.0015999999999998238,0.0027999999999999137,0.0045999999999999375,False,True,BEARISH_SWEEP_PINBAR,0.9115044247787786,1.2743362831858576,4.035398230088504
1988-01-19,00:00:00,1.1643,1.1673,1.1591,1.1644,1631,1.1625,1.1625,0.00010000000000021103,0.0028999999999999027,0.005199999999999871,0.008199999999999985,True,False,BULLISH_SWEEP_PINBAR,0.9962212298179176,0.30058399175539646,0.6870491240123675
1988-03-23,00:00:00,1.1556,1.1562,1.1547,1.1555,291,1.1558,1.1545,9.999999999998899e-05,0.0005999999999999339,0.0007999999999999119,0.0014999999999998348,False,True,BEARISH_SWEEP_PINBAR,0.6750324534833431,1.8347035915188326,2.189528342708793
1988-04-12,00:00:00,1.1594,1.1605,1.1586,1.1593,371,1.1603,1.1596,9.999999999998899e-05,0.001100000000000101,0.0006999999999999229,0.0019000000000000128,False,True,BEARISH_SWEEP_PINBAR,-0.3105322177175923,1.56991287846114,1.4232726645389424
1988-05-26,00:00:00,1.1464,1.1485,1.145,1.1463,691,1.1483,1.1463,9.999999999998899e-05,0.0020999999999999908,0.0013000000000000789,0.0035000000000000586,False,True,BEARISH_SWEEP_PINBAR,-0.6106603855884251,-1.0730175346768036,-0.6630027043531406
1988-06-16,00:00:00,1.1166,1.1199,1.115,1.1164,961,1.1165,1.1154,0.00019999999999997797,0.0032999999999998586,0.0014000000000000679,0.004899999999999904,False,True,BEARISH_SWEEP_PINBAR,-0.07165890361878663,-0.3135077033321442,-3.1350770333214024
1988-06-17,00:00:00,1.1155,1.1157,1.1148,1.1156,171,1.1199,1.115,9.999999999998899e-05,9.999999999998899e-05,0.0006999999999999229,0.0008999999999999009,True,False,BULLISH_SWEEP_PINBAR,-0.32269630692002743,-1.3445679455001707,-3.657224811760483
1988-08-09,00:00:00,1.0245,1.0318,1.0208,1.0243,2181,1.0279,1.0279,0.00019999999999997797,0.007300000000000084,0.0035000000000000586,0.01100000000000012,False,True,BEARISH_SWEEP_PINBAR,-0.33193400370985743,1.4839402518793423,0.11715317777995606
1988-08-15,00:00:00,1.0391,1.0396,1.0383,1.0393,241,1.0399,1.0388,0.00019999999999997797,0.000300000000000189,0.0007999999999999119,0.0013000000000000789,True,False,BULLISH_SWEEP_PINBAR,0.6542865390166592,-0.7216395650918734,-1.1738670258828048
1988-10-18,00:00:00,1.0825,1.0838,1.0795,1.0826,851,1.0804,1.0796,9.999999999998899e-05,0.0012000000000000899,0.0030000000000001137,0.0043000000000001926,True,False,BULLISH_SWEEP_PINBAR,-0.2124515056345805,1.3208941437280601,1.7365601330131097
1988-10-31,00:00:00,1.1001,1.1053,1.0977,1.0999,1501,1.1004,1.0977,0.00019999999999997797,0.005199999999999871,0.002200000000000202,0.007600000000000051,False,True,BEARISH_SWEEP_PINBAR,-0.4636785162287575,0.35457768888078844,-0.3727611601054634
1988-11-25,00:00:00,1.1391,1.1401,1.1364,1.1387,701,1.1391,1.1363,0.00039999999999995595,0.0009999999999998899,0.0022999999999999687,0.0036999999999998145,False,True,BEARISH_SWEEP_PINBAR,-0.8694124879248283,-1.1240888732765562,-0.34249582857644806
