trade_date,trade_time,open,high,low,close,volume,rsi,prev_high,prev_low,inside_bar,signal,forward_1,forward_3,forward_6
2025-05-14,21:00:00,21283.78,21331.08,21250.24,21316.18,9747,80.93716286359822,21338.88,21202.55,True,BEARISH_INSIDE_BAR,-0.12403723368820628,-0.6553237962899482,-0.02026629536811806
2025-06-25,21:00:00,22191.23,22257.94,22181.17,22246.11,8410,82.03346940724296,22306.89,22167.27,True,BEARISH_INSIDE_BAR,0.0142047306248142,0.3850560839625438,0.8948081260049405
2025-07-01,01:00:00,22647.64,22703.27,22635.14,22700.39,6190,81.00485373212678,22716.6,22564.21,True,BEARISH_INSIDE_BAR,-0.30836474615634357,-0.4460275792618541,-0.9707762730067588
2025-09-02,17:00:00,23188.09,23233.49,22981.49,23144.09,17612,16.847756615109205,23265.59,22980.69,True,BULLISH_INSIDE_BAR,0.8110061791152762,0.5573777150019724,0.7725514375376145
2025-09-22,01:00:00,24605.89,24625.99,24577.59,24594.99,6190,87.49271703243332,24642.69,24559.99,True,BEARISH_INSIDE_BAR,-0.012197606097827239,0.11465749731956422,0.6399677332659937
2025-09-22,05:00:00,24594.79,24614.89,24591.19,24591.99,4856,85.99626012881757,24625.99,24577.59,True,BEARISH_INSIDE_BAR,-0.2305628784006529,0.6050750671255123,0.6599709905542385
2025-10-29,01:00:00,26033.99,26079.99,26022.79,26073.29,6013,90.8439587128114,26085.99,26003.09,True,BEARISH_INSIDE_BAR,0.17143981446146891,0.39350615131423206,0.32485351867754597
2025-11-26,21:00:00,25252.29,25295.09,25229.29,25250.69,9832,82.10016793440649,25312.09,25072.69,True,BEARISH_INSIDE_BAR,0.01267292101721073,0.018613352744026906,0.144550505352527
2025-11-28,05:00:00,25287.19,25287.19,25283.69,25283.69,9,83.92931392931294,25305.99,25244.69,True,BEARISH_INSIDE_BAR,0.0,0.554903180667074,-0.08424403241773362
2025-12-23,09:00:00,25429.81,25489.69,25420.06,25468.56,6977,82.24494635956493,25492.54,25415.29,True,BEARISH_INSIDE_BAR,-0.05496973523434383,0.40387049758603133,0.36711930317222485
