trade_date,trade_time,open,high,low,close,volume,momentum,forward_1,forward_3,forward_6
2019-02-21,12:00:00,1.13344,1.13629,1.13217,1.13496,17769,BULLISH_NY_OPEN,-0.10220624515401863,0.1251145414816361,0.30045111722000206
2019-02-22,12:00:00,1.13459,1.13512,1.13345,1.1338,9427,BEARISH_NY_OPEN,0.23284529899452955,0.5142000352795909,-0.04762744752160742
2019-02-25,12:00:00,1.13562,1.13671,1.13414,1.13644,10318,BULLISH_NY_OPEN,-0.005279645207837544,0.45844919221429725,-0.2736616099398073
2019-02-26,12:00:00,1.13494,1.13713,1.13452,1.13638,13343,BULLISH_NY_OPEN,0.28599588165930195,0.1751174783083263,-0.5499920801140347
2019-02-27,12:00:00,1.13778,1.14032,1.13766,1.13963,13170,BULLISH_NY_OPEN,0.17725051113081727,-0.5589533445065492,-0.7713029667523542
2019-02-28,12:00:00,1.13812,1.14192,1.1378,1.14165,14364,BULLISH_NY_OPEN,-0.2873034642841457,-0.7287697630622436,-1.7684929707003156
2019-03-01,12:00:00,1.13721,1.13854,1.13529,1.13837,13171,BULLISH_NY_OPEN,-0.44888744432830885,-0.7238419845920065,-1.237734655691924
2019-03-04,12:00:00,1.13576,1.13576,1.13271,1.13326,17221,BEARISH_NY_OPEN,0.00617687026807745,-0.2135432292677644,-0.7006335704074825
2019-03-05,12:00:00,1.13264,1.13378,1.13156,1.13333,11839,BULLISH_NY_OPEN,-0.2823537716287286,-1.047356021635362,-0.27794199394703983
2019-03-06,12:00:00,1.13003,1.13098,1.12976,1.13013,10231,BULLISH_NY_OPEN,0.06282463079468631,-0.5176395635900412,0.0008848539548409004
2019-03-07,12:00:00,1.13069,1.13198,1.13043,1.13084,10659,BULLISH_NY_OPEN,-0.8294718969969374,-0.4881327155035167,0.08666124296982605
2019-03-08,12:00:00,1.12092,1.12203,1.11996,1.12146,13979,BULLISH_NY_OPEN,0.25145792092451313,0.7775578264048706,1.2662065521730592
2019-03-11,12:00:00,1.12482,1.1258,1.12355,1.12428,13676,BEARISH_NY_OPEN,0.09250364677839612,0.5212224712704999,0.9970825772939272
2019-03-12,12:00:00,1.12658,1.1284,1.12499,1.12532,22268,BEARISH_NY_OPEN,0.431877154942582,0.5776134788326831,0.9259588383748509
2019-03-13,12:00:00,1.12792,1.13044,1.1277,1.13018,12884,BULLISH_NY_OPEN,-0.0035392592330460637,0.48487851492681955,0.795448512626312
